Ticker,Fecha,Asset Allocation,Moneda,Compra/Venta,Nº Acciones,Precio,Total tranzado,Total USD
ACN,2025-03-26,Renta Variable Internacional,USD,Compra,2.004226163,312.34,625.9999997514199,625.9999997514199
ACN,2025-04-22,Renta Variable Internacional,USD,Venta,-2.004226163,283.96,-569.1200612454799,-569.1200612454799
